road_id,full_road_name,Road Name,Corridor ID,Processed_Full_Road_Name
1795560,Ben Avon Grove,BEN AVON GROVE,BEN_32663,ben
1795565,Hemi Street,HEMI ST,HEMI_29175,hemi
1841604,Te Whaiti Lane,TE MIHA CRES,MIHA_36185,te
3060031,Te Maire Road,TE MIHA CRES,MIHA_36185,te
3002124,Te Awaiti Road,TE MIHA CRES,MIHA_36185,te
3021763,Te Kouka Lane,TE MIHA CRES,MIHA_36185,te
1795542,Te Hopai Road,TE MIHA CRES,MIHA_36185,te
1795546,Te Rata Road,TE MIHA CRES,MIHA_36185,te
1795543,Te Miha Crescent,TE MIHA CRES,MIHA_36185,te
3022761,Te Muna Road,TE MIHA CRES,MIHA_36185,te
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_14868,birdwood
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_002695,birdwood
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_052626,birdwood
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_14975,birdwood
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_015702,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_049219,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_015702,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_049219,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,jellicoe
1801445,Oxford Street,OXFORD ST,OXFORD_90865,oxford
3000452,Donalds Road,DONALD ST,DONALD_41617,donalds
3000452,Donalds Road,DONALD ST,DONALD_14969,donalds
3000452,Donalds Road,DONALD ST,DONALD_14970,donalds
1793350,Donald Street,DONALD ST,DONALD_41617,donald
1793350,Donald Street,DONALD ST,DONALD_14969,donald
1793350,Donald Street,DONALD ST,DONALD_14970,donald
1800320,Huangarua Road,HUANGARUA RD,HUANGARUA_91206,huangarua
1795475,Bell Street,BELL ST,BELL_14975,bell
3037164,Moroa Road,MOROA ROAD,MOROA_88557,moroa
1793950,Lyon Street,LYON ST,LYON_14971,lyon
1795513,Wilkie Street,WILKIE STREET,WILKIE_36677,wilkie
1795659,Loasby Place,LOASBY PLACE,LOASBY_14982,loasby
1795605,Pukio West Road,PUKIO WEST RD,PUKIO_45947,pukio
1795604,Pukio East Road,PUKIO WEST RD,PUKIO_45947,pukio
1795667,Ohio Street,OHIO ST,OHIO_14866,ohio
1795523,Seaview Avenue,SEAVIEW AVE,SEAVIEW_29917,seaview
1795625,Tilson Avenue,TILSON AVE,TILSON_29942,tilson
1795624,Tilsons Road,TILSON AVE,TILSON_29942,tilsons
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_88053,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_88345,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_074933,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_078888,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_081004,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_3326,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_087565,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_84621,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_86455,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_85104,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_88053,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_88345,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_074933,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_078888,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_081004,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_3326,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_087565,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_84621,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_86455,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_85104,cape
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_078159,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_079875,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_84571,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_87268,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_85252,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_068349,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_082272,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_078159,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_079875,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_84571,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_87268,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_85252,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_068349,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_082272,lake
1795641,Wakelin Street,WAKELIN ST (EAST OF EAST ST),WAKELIN_14982,wakelin
1795641,Wakelin Street,WAKELIN ST (WEST OF EAST ST),WAKELIN_103584,wakelin
1795501,Wood Street,WOOD ST,WOOD_37228,wood
1795639,Mangatoetoe Grove,MANGATOETOE GROVE,MANGATOETOE_34889,mangatoetoe
1795563,Hawke Street,HAWKE ST,HAWKE_42303,hawke
1791763,Clara Anne Grove,CLARA ANNE GR,CLARA_14984,clara
3007123,East West Access Road,EAST ST,EAST_056838,east
3007123,East West Access Road,EAST ST,EAST_021027,east
3007123,East West Access Road,EAST ST,EAST_107930,east
3007123,East West Access Road,EAST ST,EAST_017366,east
3007123,East West Access Road,EAST ST,EAST_040645,east
3007123,East West Access Road,EAST ST,EAST_14984,east
3007123,East West Access Road,EAST ST,EAST_021027,east
3007123,East West Access Road,EAST ST,EAST_14982,east
1793361,East Street,EAST ST,EAST_056838,east
1793361,East Street,EAST ST,EAST_021027,east
1793361,East Street,EAST ST,EAST_107930,east
1793361,East Street,EAST ST,EAST_017366,east
1793361,East Street,EAST ST,EAST_040645,east
1793361,East Street,EAST ST,EAST_14984,east
1793361,East Street,EAST ST,EAST_021027,east
1793361,East Street,EAST ST,EAST_14982,east
1795530,East Street,EAST ST,EAST_056838,east
1795530,East Street,EAST ST,EAST_021027,east
1795530,East Street,EAST ST,EAST_107930,east
1795530,East Street,EAST ST,EAST_017366,east
1795530,East Street,EAST ST,EAST_040645,east
1795530,East Street,EAST ST,EAST_14984,east
1795530,East Street,EAST ST,EAST_021027,east
1795530,East Street,EAST ST,EAST_14982,east
1795476,Reading Street,READING ST,READING_016466,reading
1795476,Reading Street,READING ST,READING_14984,reading
1795685,Grey Street,GREY ST,GREY_055949,grey
1795687,Kansas Street,KANSAS ST (NORTHERN LEG),KANSAS_14882,kansas
1795687,Kansas Street,KANSAS ST (SOUTHERN LEG),KANSAS_14879,kansas
1795576,Cundys Road,CUNDYS ROAD,CUNDYS_41481,cundys
1795648,Church Street,CHURCH ST,CHURCH_047408,church
1795392,Ponatahi Road,PONATAHI RD,PONATAHI_3985,ponatahi
1795392,Ponatahi Road,PONATAHI RD,PONATAHI_088059,ponatahi
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_040893,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_74523,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_75097,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_069688,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_72788,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_077121,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_040893,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_74523,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_75097,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_069688,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_72788,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_077121,bidwills
3043395,Kahutara Road,KAHUTARA RD,KAHUTARA_085397,kahutara
3043395,Kahutara Road,KAHUTARA RD,KAHUTARA_087010,kahutara
1795469,Nelsons Road,NELSONS RD,NELSONS_15063,nelsons
3036706,Underhill Road,UNDERHILL RD (EXTENSION @ WAKEFIELD,UNDERHILL_36215,underhill
1795649,McMaster Street,MCMASTER ST,MCMASTER_049961,mcmaster
3013166,Whangaimoana Beach Road,WHANGAIMOANA BEACH RD,WHANGAIMOANA_48098,whangaimoana
1800688,Roberts Street,ROBERTS ST,ROBERTS_022880,roberts
1800667,Regent Street,REGENT ST,REGENT_046569,regent
1800352,Kuratawhiti Street,KURATAWHITI ST,KURATAWHITI_075303,kuratawhiti
1800672,Kumenga Road,KUMENGA RD,KUMENGA_43317,kumenga
1800666,Papawai Road,PAPAWAI RD,PAPAWAI_90072,papawai
1800666,Papawai Road,PAPAWAI RD,PAPAWAI_87420,papawai
1800666,Papawai Road,PAPAWAI RD,PAPAWAI_29650,papawai
1795665,Cork Street,CORK ST,CORK_14865,cork
1795665,Cork Street,CORK ST,CORK_14864,cork
1795671,Texas Street,TEXAS ST,TEXAS_14880,texas
1795671,Texas Street,TEXAS ST (WESTERN LEG),TEXAS_14881,texas
1801444,Princess Street,PRINCESS ST,PRINCESS_031815,princess
1801444,Princess Street,PRINCESS ST,PRINCESS_058218,princess
1842793,Arbor Place,ARBOR PLACE,ARBOR_95680,arbor
1842793,Arbor Place,ARBOR PLACE,ARBOR_95681,arbor
3053271,Western Lake Road,WESTERN LAKE RD,WESTERN_002362,western
3053271,Western Lake Road,WESTERN LAKE RD,WESTERN_085855,western
3053271,Western Lake Road,WESTERN LAKE RD,WESTERN_083223,western
1795536,Papatahi Road,PAPATAHI RD,PAPATAHI_45767,papatahi
1795456,Fox Street,FOX ST,FOX_009122,fox
1795474,Puruatanga Road,PURUATANGA RD,PURUATANGA_87443,puruatanga
1795474,Puruatanga Road,PURUATANGA RD,PURUATANGA_91187,puruatanga
1795663,Memorial Square,Memorial Square,SQUARE_89824,memorial
1795670,Cambridge Road,CAMBRIDGE RD,CAMBRIDGE_90382,cambridge
1795670,Cambridge Road,CAMBRIDGE RD,CAMBRIDGE_89648,cambridge
1793351,Dublin Street,DUBLIN ST,DUBLIN_102503,dublin
1793351,Dublin Street,DUBLIN ST,DUBLIN_75190,dublin
1795595,Hinekura Road,HINEKURA RD,HINEKURA_100546,hinekura
1795595,Hinekura Road,HINEKURA RD,HINEKURA_100548,hinekura
1795560,Ben Avon Grove,BEN AVON GROVE,BEN_32663,ben
1795565,Hemi Street,HEMI ST,HEMI_29175,hemi
1841604,Te Whaiti Lane,TE MIHA CRES,MIHA_36185,te
3060031,Te Maire Road,TE MIHA CRES,MIHA_36185,te
3002124,Te Awaiti Road,TE MIHA CRES,MIHA_36185,te
3021763,Te Kouka Lane,TE MIHA CRES,MIHA_36185,te
1795542,Te Hopai Road,TE MIHA CRES,MIHA_36185,te
1795546,Te Rata Road,TE MIHA CRES,MIHA_36185,te
1795543,Te Miha Crescent,TE MIHA CRES,MIHA_36185,te
3022761,Te Muna Road,TE MIHA CRES,MIHA_36185,te
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_14868,birdwood
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_002695,birdwood
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_052626,birdwood
1793323,Birdwood Street,BIRDWOOD ST,BIRDWOOD_14975,birdwood
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_015702,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_049219,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,jellicoe
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_015702,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_049219,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,jellicoe
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,jellicoe
1801445,Oxford Street,OXFORD ST,OXFORD_90865,oxford
3000452,Donalds Road,DONALD ST,DONALD_41617,donalds
3000452,Donalds Road,DONALD ST,DONALD_14969,donalds
3000452,Donalds Road,DONALD ST,DONALD_14970,donalds
1793350,Donald Street,DONALD ST,DONALD_41617,donald
1793350,Donald Street,DONALD ST,DONALD_14969,donald
1793350,Donald Street,DONALD ST,DONALD_14970,donald
1800320,Huangarua Road,HUANGARUA RD,HUANGARUA_91206,huangarua
1795475,Bell Street,BELL ST,BELL_14975,bell
3037164,Moroa Road,MOROA ROAD,MOROA_88557,moroa
1793950,Lyon Street,LYON ST,LYON_14971,lyon
1795513,Wilkie Street,WILKIE STREET,WILKIE_36677,wilkie
1795659,Loasby Place,LOASBY PLACE,LOASBY_14982,loasby
1795605,Pukio West Road,PUKIO WEST RD,PUKIO_45947,pukio
1795604,Pukio East Road,PUKIO WEST RD,PUKIO_45947,pukio
1795667,Ohio Street,OHIO ST,OHIO_14866,ohio
1795523,Seaview Avenue,SEAVIEW AVE,SEAVIEW_29917,seaview
1795625,Tilson Avenue,TILSON AVE,TILSON_29942,tilson
1795624,Tilsons Road,TILSON AVE,TILSON_29942,tilsons
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_88053,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_88345,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_074933,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_078888,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_081004,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_3326,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_087565,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_84621,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_86455,cape
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_85104,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_88053,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_88345,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_074933,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_078888,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_081004,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_3326,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_087565,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_84621,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_86455,cape
1795509,Cape River Road,CAPE PALLISER RD,CAPE_85104,cape
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_078159,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_079875,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_84571,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_87268,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_85252,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_068349,lake
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_082272,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_078159,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_079875,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_84571,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_87268,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_85252,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_068349,lake
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_082272,lake
1795641,Wakelin Street,WAKELIN ST (EAST OF EAST ST),WAKELIN_14982,wakelin
1795641,Wakelin Street,WAKELIN ST (WEST OF EAST ST),WAKELIN_103584,wakelin
1795501,Wood Street,WOOD ST,WOOD_37228,wood
1795639,Mangatoetoe Grove,MANGATOETOE GROVE,MANGATOETOE_34889,mangatoetoe
1795563,Hawke Street,HAWKE ST,HAWKE_42303,hawke
1791763,Clara Anne Grove,CLARA ANNE GR,CLARA_14984,clara
3007123,East West Access Road,EAST ST,EAST_056838,east
3007123,East West Access Road,EAST ST,EAST_021027,east
3007123,East West Access Road,EAST ST,EAST_107930,east
3007123,East West Access Road,EAST ST,EAST_017366,east
3007123,East West Access Road,EAST ST,EAST_040645,east
3007123,East West Access Road,EAST ST,EAST_14984,east
3007123,East West Access Road,EAST ST,EAST_021027,east
3007123,East West Access Road,EAST ST,EAST_14982,east
1793361,East Street,EAST ST,EAST_056838,east
1793361,East Street,EAST ST,EAST_021027,east
1793361,East Street,EAST ST,EAST_107930,east
1793361,East Street,EAST ST,EAST_017366,east
1793361,East Street,EAST ST,EAST_040645,east
1793361,East Street,EAST ST,EAST_14984,east
1793361,East Street,EAST ST,EAST_021027,east
1793361,East Street,EAST ST,EAST_14982,east
1795530,East Street,EAST ST,EAST_056838,east
1795530,East Street,EAST ST,EAST_021027,east
1795530,East Street,EAST ST,EAST_107930,east
1795530,East Street,EAST ST,EAST_017366,east
1795530,East Street,EAST ST,EAST_040645,east
1795530,East Street,EAST ST,EAST_14984,east
1795530,East Street,EAST ST,EAST_021027,east
1795530,East Street,EAST ST,EAST_14982,east
1795476,Reading Street,READING ST,READING_016466,reading
1795476,Reading Street,READING ST,READING_14984,reading
1795685,Grey Street,GREY ST,GREY_055949,grey
1795687,Kansas Street,KANSAS ST (NORTHERN LEG),KANSAS_14882,kansas
1795687,Kansas Street,KANSAS ST (SOUTHERN LEG),KANSAS_14879,kansas
1795576,Cundys Road,CUNDYS ROAD,CUNDYS_41481,cundys
1795648,Church Street,CHURCH ST,CHURCH_047408,church
1795392,Ponatahi Road,PONATAHI RD,PONATAHI_3985,ponatahi
1795392,Ponatahi Road,PONATAHI RD,PONATAHI_088059,ponatahi
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_040893,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_74523,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_75097,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_069688,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_72788,bidwills
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_077121,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_040893,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_74523,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_75097,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_069688,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_72788,bidwills
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_077121,bidwills
3043395,Kahutara Road,KAHUTARA RD,KAHUTARA_085397,kahutara
3043395,Kahutara Road,KAHUTARA RD,KAHUTARA_087010,kahutara
1795469,Nelsons Road,NELSONS RD,NELSONS_15063,nelsons
3036706,Underhill Road,UNDERHILL RD (EXTENSION @ WAKEFIELD,UNDERHILL_36215,underhill
1795649,McMaster Street,MCMASTER ST,MCMASTER_049961,mcmaster
3013166,Whangaimoana Beach Road,WHANGAIMOANA BEACH RD,WHANGAIMOANA_48098,whangaimoana
1800688,Roberts Street,ROBERTS ST,ROBERTS_022880,roberts
1800667,Regent Street,REGENT ST,REGENT_046569,regent
1800352,Kuratawhiti Street,KURATAWHITI ST,KURATAWHITI_075303,kuratawhiti
1800672,Kumenga Road,KUMENGA RD,KUMENGA_43317,kumenga
1800666,Papawai Road,PAPAWAI RD,PAPAWAI_90072,papawai
1800666,Papawai Road,PAPAWAI RD,PAPAWAI_87420,papawai
1800666,Papawai Road,PAPAWAI RD,PAPAWAI_29650,papawai
1795665,Cork Street,CORK ST,CORK_14865,cork
1795665,Cork Street,CORK ST,CORK_14864,cork
1795671,Texas Street,TEXAS ST,TEXAS_14880,texas
1795671,Texas Street,TEXAS ST (WESTERN LEG),TEXAS_14881,texas
1801444,Princess Street,PRINCESS ST,PRINCESS_031815,princess
1801444,Princess Street,PRINCESS ST,PRINCESS_058218,princess
1842793,Arbor Place,ARBOR PLACE,ARBOR_95680,arbor
1842793,Arbor Place,ARBOR PLACE,ARBOR_95681,arbor
3053271,Western Lake Road,WESTERN LAKE RD,WESTERN_002362,western
3053271,Western Lake Road,WESTERN LAKE RD,WESTERN_085855,western
3053271,Western Lake Road,WESTERN LAKE RD,WESTERN_083223,western
1795536,Papatahi Road,PAPATAHI RD,PAPATAHI_45767,papatahi
1795456,Fox Street,FOX ST,FOX_009122,fox
1795474,Puruatanga Road,PURUATANGA RD,PURUATANGA_87443,puruatanga
1795474,Puruatanga Road,PURUATANGA RD,PURUATANGA_91187,puruatanga
1795663,Memorial Square,Memorial Square,SQUARE_89824,memorial
1795670,Cambridge Road,CAMBRIDGE RD,CAMBRIDGE_90382,cambridge
1795670,Cambridge Road,CAMBRIDGE RD,CAMBRIDGE_89648,cambridge
1793351,Dublin Street,DUBLIN ST,DUBLIN_102503,dublin
1793351,Dublin Street,DUBLIN ST,DUBLIN_75190,dublin
1795595,Hinekura Road,HINEKURA RD,HINEKURA_100546,hinekura
1795595,Hinekura Road,HINEKURA RD,HINEKURA_100548,hinekura
