WKT,road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii,Processed_Full_Road_Name,Processed_Road_Name_Label,Matched_Road_Full,Matched_Road_Label,Corridor ID,Road Name,Land Use,Traffic Volume,Street Category,Collective Risk Band,Personal Risk Band,Posted Speed Limit,Free Flow Speed,IRR Band,Safe and Appropriate Speed,Difference between posted speed limit and SaAS,Difference between operating and SaAS,Proposed Permanent Speed Limit,Proposed Variable Speed Limit,Start GPS Co-ordinates,End GPS Co-ordinates,Processed Road Name
"LINESTRING (1788470.83778912 5391703.34286062,1788478.92925071 5391737.76348983,1788478.88272167 5391742.03471916,1788476.94542677 5391746.66417058,1788473.28278973 5391751.284706,1788442.89908704 5391778.25658483,1788417.40359948 5391791.02280054,1788393.64767849 5391794.91396185)",1795560,Addressing Road,Unknown,Road,Ben Avon Grove,Ben Avon Grv,,Ben Avon,Grove,,,,,,Ben Avon Grove,Ben Avon Grv,Ben Avon,ben,ben,ben,ben,BEN_32663,BEN AVON GROVE,Urban Fringe,13,Peri-urban Roads,Low,Low,100,39,Medium High,60,40,-21,30,,,,ben
"LINESTRING (1786235.55262436 5393610.56527087,1786274.78582597 5393600.88642635,1786285.35252911 5393596.62499096,1786294.66704096 5393590.13815451,1786301.98167765 5393582.62477863,1786307.04097592 5393575.5000575,1786336.45064227 5393504.76356995)",1795565,Addressing Road,Unknown,Road,Hemi Street,Hemi St,,Hemi,Street,,,,,,Hemi Street,Hemi St,Hemi,hemi,hemi,hemi,hemi,HEMI_29175,HEMI ST,Rural Residential,107,Activity Streets,Low,Low,50,17,High,30,20,-13,30,,,,hemi
"LINESTRING (1783441.27608916 5401296.94394276,1783473.55266874 5401280.60646294,1783529.28970356 5401255.95388705,1783541.16479179 5401253.19136634,1783561.9866534 5401260.34306118,1783573.96383409 5401270.28771026,1783588.52194316 5401291.73325605,1783602.69935596 5401318.18402881,1783610.27325697 5401341.69019919)",1841604,Addressing Road,Unknown,Road,Te Whaiti Lane,Te Whaiti Lane,,Te Whaiti,Lane,,,,,,Te Whaiti Lane,Te Whaiti Lane,Te Whaiti,te,te,te,te,MIHA_36185,TE MIHA CRES,Urban Fringe,64,Peri-urban Roads,Low,Low,100,27,Medium,60,40,-33,30,,,,te
"LINESTRING (1801326.47833606 5439182.00630314,1801307.6264703 5439102.43985781,1801160.45920354 5438556.75048974,1801033.89078424 5438432.09979279,1800671.43911371 5438127.36257861,1800187.3194658 5437720.77896955,1799706.96897978 5437317.02424952,1799339.86882872 5437007.60664423,1799318.14966937 5436915.14104677,1799338.8954197 5436856.63789413,1799315.28836312 5436755.68332327,1799258.62322163 5436501.87776773,1799054.80673441 5436217.96467066,1798648.62754844 5435683.92988326,1798404.28784984 5435348.8439366)",3060031,Addressing Road,Unknown,Road,Te Maire Road,Te Maire Rd,,Te Maire,Road,,,,,,Te Maire Road,Te Maire Rd,Te Maire,te,te,te,te,MIHA_36185,TE MIHA CRES,Urban Fringe,64,Peri-urban Roads,Low,Low,100,27,Medium,60,40,-33,30,,,,te
"MULTILINESTRING ((1809942.77401348 5402310.22242926,1810039.10086918 5402337.68290143,1810075.36689396 5402347.38919339,1810240.27013283 5402334.20107671,1810391.9102138 5402301.8414681,1810597.60307179 5402262.51063749,1810661.83335895 5402226.89456918,1810783.78570588 5402173.70897618,1810875.03221755 5402220.75607035,1811045.66817739 5402195.92440556,1811140.57704418 5402232.54473086,1811220.04230799 5402443.22565407,1811300.32635573 5402564.79631144,1811321.48256847 5402708.37042739,1811372.12748528 5402801.53774118,1811392.15669832 5402955.34814902,1811433.87754521 5403073.19889401,1811435.45915542 5403143.07420285,1811458.23095455 5403174.09853318,1811502.07734414 5403155.58642194,1811518.74605278 5403164.24166732,1811562.65791236 5403192.64735472,1811656.51750983 5403229.32044211,1811775.9270933 5403204.41522879),(1811775.9270933 5403204.41522879,1811777.56411463 5403204.07378089,1811796.4234212 5403193.46114475,1811852.92389066 5403119.59458754,1811913.68680303 5403089.66098708,1811928.58773364 5403092.35334192,1812016.55078397 5403165.21362899,1812056.32149411 5403207.38288491,1812116.02980189 5403160.19253417,1812328.68542036 5403167.91631632,1812512.25600405 5403164.38140667,1812783.60897914 5403223.90264337,1812900.55116588 5403192.90702443,1813294.56028753 5403367.60835617,1813761.22198059 5403469.86216058,1813973.30143044 5403470.26709057,1814065.06923677 5403509.31130583,1814474.50837879 5403730.30183536,1814697.21020582 5403885.92236411,1814743.32514616 5404002.66205637,1814754.7281196 5404127.39705902,1814788.94136602 5404176.90637907,1814865.3024783 5404238.17416458,1814912.86817833 5404300.63411139,1814904.36690487 5404402.88535993,1814910.91178837 5404409.76211183,1814961.24671631 5404450.02052623,1815014.83169918 5404497.61832367,1815092.09874047 5404716.27461839,1815175.84295967 5404685.58617341,1815198.38559753 5404666.21246848,1815197.73399617 5404564.43547476))",3002124,Addressing Road,Unknown,Road,Te Awaiti Road,Te Awaiti Rd,,Te Awaiti,Road,,,,,,Te Awaiti Road,Te Awaiti Rd,Te Awaiti,te,te,te,te,MIHA_36185,TE MIHA CRES,Urban Fringe,64,Peri-urban Roads,Low,Low,100,27,Medium,60,40,-33,30,,,,te
"LINESTRING (1783979.75400178 5435325.36780305,1783982.11886663 5435310.8231162,1784010.27389928 5435282.67164534,1784017.95198382 5435279.26153875,1784051.22220015 5435279.2637386,1784068.28460389 5435273.29278949,1784097.29202754 5435230.63999411,1784098.99967974 5435216.98950978,1784093.88257765 5435205.04643742,1784085.35250671 5435193.10255572,1784069.14363465 5435181.1582326,1784001.75138897 5435152.14807002,1783991.51387302 5435147.88129892,1783961.65974492 5435145.32075687,1783912.98990248 5435157.25154648,1783899.25128922 5435151.26217652)",3021763,Addressing Road,Unknown,Road,Te Kouka Lane,Te Kouka Lane,,Te Kouka,Lane,,,,,,Te Kouka Lane,Te Kouka Lane,Te Kouka,te,te,te,te,MIHA_36185,TE MIHA CRES,Urban Fringe,64,Peri-urban Roads,Low,Low,100,27,Medium,60,40,-33,30,,,,te
"LINESTRING (1786844.97506672 5425933.17929014,1786808.89351447 5425966.09271594,1786780.40851903 5425997.10898349,1786742.427888 5426036.35354096,1786733.17302388 5426047.20326044,1786703.96294059 5426080.2431683,1786532.66284259 5426164.40867687,1786500.72554617 5426180.36951846,1786432.29491888 5426208.03588135,1786313.3863645 5426251.57417529,1786239.43292266 5426283.5001837,1786203.1810992 5426302.36436338,1786165.47896061 5426322.67832197,1786121.97835178 5426350.24723364,1786070.88163998 5426378.73992848,1786024.51722232 5426401.98943398,1785986.80283891 5426415.04241159,1785561.05828667 5426497.8430208,1785489.99894459 5426505.09924278,1785414.59434954 5426529.73957418,1785359.49209811 5426557.27195836,1785302.94371114 5426606.53453439,1785275.38973822 5426639.07597683,1785238.09575711 5426714.45874059,1785220.02677827 5426785.79985378,1785214.62085617 5426882.42071087,1785211.02498117 5426992.58825004,1785211.6879349 5427069.79000621,1785198.38053538 5427175.40367994)",1795542,Addressing Road,Unknown,Road,Te Hopai Road,Te Hopai Rd,,Te Hopai,Road,,,,,,Te Hopai Road,Te Hopai Rd,Te Hopai,te,te,te,te,MIHA_36185,TE MIHA CRES,Urban Fringe,64,Peri-urban Roads,Low,Low,100,27,Medium,60,40,-33,30,,,,te
"LINESTRING (1785096.87382781 5417128.86061345,1785053.25169551 5417072.93261803,1784930.86673231 5416997.83418585,1784937.03865594 5416938.02164196,1785032.44115817 5416845.66510476,1785045.54193012 5416764.82382777,1785370.04872907 5416459.00287278,1785393.76278128 5416375.14855168,1785548.11120951 5416198.64998352,1785601.85460671 5416068.35383119,1785677.1245496 5415949.10232883,1785639.06270071 5415850.15051413,1785686.42262437 5415741.04654834,1785572.24295242 5415544.83483719,1785611.79242037 5415333.07073356,1785660.96478973 5415202.89068886)",1795546,Addressing Road,Unknown,Road,Te Rata Road,Te Rata Rd,,Te Rata,Road,,,,,,Te Rata Road,Te Rata Rd,Te Rata,te,te,te,te,MIHA_36185,TE MIHA CRES,Urban Fringe,64,Peri-urban Roads,Low,Low,100,27,Medium,60,40,-33,30,,,,te
"LINESTRING (1784400.37093016 5406088.75489401,1784508.28500301 5406082.11728789,1784514.57775286 5406087.87632001,1784519.02615989 5406159.71009623,1784592.8087801 5406188.20476495)",1795543,Addressing Road,Unknown,Road,Te Miha Crescent,Te Miha Cres,,Te Miha,Crescent,,,,,,Te Miha Crescent,Te Miha Cres,Te Miha,te,te,te,te,MIHA_36185,TE MIHA CRES,Urban Fringe,64,Peri-urban Roads,Low,Low,100,27,Medium,60,40,-33,30,,,,te
"LINESTRING (1809028.36825872 5432071.82210554,1809085.72525955 5432015.96712347,1809113.42184033 5431970.68298784,1809083.25821867 5431903.74048951,1809068.89149436 5431826.79719063,1809039.6687188 5431787.27965056,1808823.52976413 5431495.81359304,1808770.46022018 5431413.72166519,1808727.36940364 5431341.32750725,1808446.29522986 5430653.54207537,1808227.1667328 5429552.54333726,1807438.57500058 5428936.99514704,1807883.64617383 5428186.96504798,1807587.06033043 5428007.53109305,1806200.02341143 5427189.82514912)",3022761,Addressing Road,Unknown,Road,Te Muna Road,Te Muna Rd,,Te Muna,Road,,,,,,Te Muna Road,Te Muna Rd,Te Muna,te,te,te,te,MIHA_36185,TE MIHA CRES,Urban Fringe,64,Peri-urban Roads,Low,Low,100,27,Medium,60,40,-33,30,,,,te
"LINESTRING (1796441.65544881 5440149.61565608,1796230.21019265 5439437.44545701)",3000452,Addressing Road,Unknown,Road,Donalds Road,Donalds Rd,,Donalds,Road,,,,,,Donalds Road,Donalds Rd,Donalds,donalds,donalds,donald,donald,DONALD_41617,DONALD ST,Rural Residential,137,Rural Roads,Low,Low,100,28,Medium High,60,40,-32,60,,,,donald
"LINESTRING (1796441.65544881 5440149.61565608,1796230.21019265 5439437.44545701)",3000452,Addressing Road,Unknown,Road,Donalds Road,Donalds Rd,,Donalds,Road,,,,,,Donalds Road,Donalds Rd,Donalds,donalds,donalds,donald,donald,DONALD_14969,DONALD ST,Urban Fringe,100,Peri-urban Roads,Low,Low,100,33,Low Medium,60,40,-27,60,,,,donald
"LINESTRING (1796441.65544881 5440149.61565608,1796230.21019265 5439437.44545701)",3000452,Addressing Road,Unknown,Road,Donalds Road,Donalds Rd,,Donalds,Road,,,,,,Donalds Road,Donalds Rd,Donalds,donalds,donalds,donald,donald,DONALD_14970,DONALD ST,Urban Residential,130,Local Streets,Low,Low,50,33,Low Medium,30,20,3,60,,,,donald
"MULTILINESTRING ((1794932.09662936 5442295.51085726,1795202.24038884 5443192.34478527,1795400.79581175 5443866.78387584),(1795566.87133844 5444428.06035958,1795400.79581175 5443866.78387584),(1795606.39937579 5444555.93868797,1795566.87133844 5444428.06035958),(1795839.31681998 5445423.28049264,1795858.07785452 5445406.30939159,1795822.39581654 5445284.82314165),(1795804.05351586 5445218.75574282,1795753.05149076 5445053.86933431),(1795822.39581654 5445284.82314165,1795804.05351586 5445218.75574282),(1795665.40319242 5444752.46515759,1795606.39937579 5444555.93868797),(1795753.05149076 5445053.86933431,1795665.40319242 5444752.46515759))",1793350,Addressing Road,Unknown,Road,Donald Street,Donald St,,Donald,Street,,,,,,Donald Street,Donald St,Donald,donald,donald,donald,donald,DONALD_41617,DONALD ST,Rural Residential,137,Rural Roads,Low,Low,100,28,Medium High,60,40,-32,60,,,,donald
"MULTILINESTRING ((1794932.09662936 5442295.51085726,1795202.24038884 5443192.34478527,1795400.79581175 5443866.78387584),(1795566.87133844 5444428.06035958,1795400.79581175 5443866.78387584),(1795606.39937579 5444555.93868797,1795566.87133844 5444428.06035958),(1795839.31681998 5445423.28049264,1795858.07785452 5445406.30939159,1795822.39581654 5445284.82314165),(1795804.05351586 5445218.75574282,1795753.05149076 5445053.86933431),(1795822.39581654 5445284.82314165,1795804.05351586 5445218.75574282),(1795665.40319242 5444752.46515759,1795606.39937579 5444555.93868797),(1795753.05149076 5445053.86933431,1795665.40319242 5444752.46515759))",1793350,Addressing Road,Unknown,Road,Donald Street,Donald St,,Donald,Street,,,,,,Donald Street,Donald St,Donald,donald,donald,donald,donald,DONALD_14969,DONALD ST,Urban Fringe,100,Peri-urban Roads,Low,Low,100,33,Low Medium,60,40,-27,60,,,,donald
"MULTILINESTRING ((1794932.09662936 5442295.51085726,1795202.24038884 5443192.34478527,1795400.79581175 5443866.78387584),(1795566.87133844 5444428.06035958,1795400.79581175 5443866.78387584),(1795606.39937579 5444555.93868797,1795566.87133844 5444428.06035958),(1795839.31681998 5445423.28049264,1795858.07785452 5445406.30939159,1795822.39581654 5445284.82314165),(1795804.05351586 5445218.75574282,1795753.05149076 5445053.86933431),(1795822.39581654 5445284.82314165,1795804.05351586 5445218.75574282),(1795665.40319242 5444752.46515759,1795606.39937579 5444555.93868797),(1795753.05149076 5445053.86933431,1795665.40319242 5444752.46515759))",1793350,Addressing Road,Unknown,Road,Donald Street,Donald St,,Donald,Street,,,,,,Donald Street,Donald St,Donald,donald,donald,donald,donald,DONALD_14970,DONALD ST,Urban Residential,130,Local Streets,Low,Low,50,33,Low Medium,30,20,3,60,,,,donald
"LINESTRING (1806602.99993161 5434987.43159327,1806865.61034492 5434609.63394617)",1800320,Addressing Road,Unknown,Road,Huangarua Road,Huangarua Rd,,Huangarua,Road,,,,,,Huangarua Road,Huangarua Rd,Huangarua,huangarua,huangarua,huangarua,huangarua,HUANGARUA_91206,HUANGARUA RD,,308,Activity Streets,Low,Low,70,60,Medium,30,40,30,60,,,,huangarua
"MULTILINESTRING ((1804360.19333074 5445161.98411987,1804368.47162552 5445161.34528122,1804667.08535879 5445154.81112023),(1803963.47873134 5445179.79163151,1804360.19333074 5445161.98411987),(1799732.90388241 5445402.61858322,1799755.42329731 5445368.93390047,1799759.52234239 5445363.81278808,1799767.20630387 5445359.71404343,1799774.58761242 5445358.63272665,1800130.99540905 5445343.73439474,1800519.86975384 5445329.23183911),(1800519.86975384 5445329.23183911,1800788.16256105 5445320.06403411,1801396.80325893 5445294.58824293,1801929.68072973 5445269.87150853,1802262.95172981 5445255.98393336,1802278.36615624 5445255.2277897,1802280.03097975 5445255.11691195),(1803915.30593518 5445181.95251469,1803963.47873134 5445179.79163151),(1802280.03097975 5445255.11691195,1803915.30593518 5445181.95251469))",3037164,Addressing Road,Unknown,Road,Moroa Road,Moroa Rd,,Moroa,Road,,,,,,Moroa Road,Moroa Rd,Moroa,moroa,moroa,moroa,moroa,MOROA_88557,MOROA ROAD,Remote Rural,40,Rural Roads,Low,Low,100,65,Medium,60,40,5,60,,,,moroa
"LINESTRING (1804912.78927491 5449691.24338444,1805321.00520913 5450153.61025763)",1795513,Addressing Road,Unknown,Road,Wilkie Street,Wilkie St,,Wilkie,Street,,,,,,Wilkie Street,Wilkie St,Wilkie,wilkie,wilkie,wilkie,wilkie,WILKIE_36677,WILKIE STREET,Remote Rural,36,Rural Roads,Low,Low,100,33,Medium,60,40,-27,60,,,,wilkie
"LINESTRING (1806073.78063705 5448538.40301579,1806148.52293259 5448492.85254736,1806169.14513665 5448465.13212934)",1795659,Addressing Road,Unknown,Road,Loasby Place,Loasby Pl,,Loasby,Place,,,,,,Loasby Place,Loasby Pl,Loasby,loasby,loasby,loasby,loasby,LOASBY_14982,LOASBY PLACE,Urban Residential,39,Local Streets,Low,Low,50,16,Medium,30,20,-14,30,,,,loasby
"MULTILINESTRING ((1805964.53010918 5434105.49689833,1806086.58111285 5434191.8120319),(1806086.58111285 5434191.8120319,1806208.5893969 5434277.05608144))",1795667,Addressing Road,Unknown,Road,Ohio Street,Ohio St,,Ohio,Street,,,,,,Ohio Street,Ohio St,Ohio,ohio,ohio,ohio,ohio,OHIO_14866,OHIO ST,,365,Activity Streets,Low,Low,50,22,Medium,30,20,-8,30,,,,ohio
"MULTILINESTRING ((1786168.61724156 5393399.35165026,1786230.74709782 5393372.4211685,1786237.3502083 5393370.64027503,1786244.67709111 5393371.436202,1786250.76976689 5393374.82293761,1786255.14666926 5393381.8889997,1786278.48422903 5393432.49716681,1786286.80056865 5393447.88493824,1786299.11547161 5393462.5533242,1786308.08742321 5393474.50052654,1786325.01764346 5393491.89308878,1786336.45064227 5393504.76356995),(1786336.45064227 5393504.76356995,1786353.28455294 5393514.67560479,1786366.14549091 5393525.20736762,1786377.25519378 5393539.43759654,1786383.96411291 5393555.30365911,1786389.4324295 5393570.02230777,1786457.37046985 5393779.88841269,1786458.22829556 5393788.91737776,1786457.42166627 5393798.46256232))",1795523,Addressing Road,Unknown,Road,Seaview Avenue,Seaview Ave,,Seaview,Avenue,,,,,,Seaview Avenue,Seaview Ave,Seaview,seaview,seaview,seaview,seaview,SEAVIEW_29917,SEAVIEW AVE,Rural Residential,26,Activity Streets,Low,Low,50,22,High,30,20,-8,30,,,,seaview
"MULTILINESTRING ((1786287.29315222 5393758.31030528,1786314.53186095 5393763.78185365,1786457.42166627 5393798.46256232),(1786457.42166627 5393798.46256232,1786492.09344397 5393806.46763473,1786500.57534982 5393807.3403879,1786507.82911263 5393806.44129276,1786515.07344707 5393804.69591312,1786522.12223687 5393802.00203701,1786533.37148545 5393793.85227345))",1795625,Addressing Road,Unknown,Road,Tilson Avenue,Tilson Ave,,Tilson,Avenue,,,,,,Tilson Avenue,Tilson Ave,Tilson,tilson,tilson,tilson,tilson,TILSON_29942,TILSON AVE,Rural Residential,72,Activity Streets,Low,Low,50,28,Medium,30,20,-2,30,,,,tilson
"MULTILINESTRING ((1808657.65279385 5447655.55223938,1808808.34898401 5447649.28775841,1808980.23997046 5447640.39614178,1809156.72636964 5447630.23754612,1809323.55598999 5447621.60846691,1809996.14349611 5447586.26929857),(1809996.14349611 5447586.26929857,1810124.02805195 5447620.90691652,1810288.36509352 5447663.22852346,1810328.27990767 5447672.3854314,1810404.59613441 5447697.7630202,1810580.44163191 5447683.10866543,1810686.01270618 5447673.31507438,1810698.81855672 5447671.14245604,1810700.47668552 5447671.11878136,1810702.06010241 5447670.49536483))",1795624,Addressing Road,Unknown,Road,Tilsons Road,Tilsons Rd,,Tilsons,Road,,,,,,Tilsons Road,Tilsons Rd,Tilsons,tilsons,tilsons,tilson,tilson,TILSON_29942,TILSON AVE,Rural Residential,72,Activity Streets,Low,Low,50,28,Medium,30,20,-2,30,,,,tilson
"MULTILINESTRING ((1805726.09817256 5448325.2541314,1805737.11552123 5448323.0906309,1805775.57834693 5448288.09925949,1805817.90436761 5448252.44157677),(1805817.90436761 5448252.44157677,1805938.39452095 5448146.65877082,1806252.31824716 5448512.25419269))",1795641,Addressing Road,Unknown,Road,Wakelin Street,Wakelin St,,Wakelin,Street,,,,,,Wakelin Street,Wakelin St,Wakelin,wakelin,wakelin,wakelin,wakelin,WAKELIN_14982,WAKELIN ST (EAST OF EAST ST),Urban Residential,106,Activity Streets,Low,Low,50,17,Medium,30,20,-13,50,30.0,,,wakelin
"MULTILINESTRING ((1805726.09817256 5448325.2541314,1805737.11552123 5448323.0906309,1805775.57834693 5448288.09925949,1805817.90436761 5448252.44157677),(1805817.90436761 5448252.44157677,1805938.39452095 5448146.65877082,1806252.31824716 5448512.25419269))",1795641,Addressing Road,Unknown,Road,Wakelin Street,Wakelin St,,Wakelin,Street,,,,,,Wakelin Street,Wakelin St,Wakelin,wakelin,wakelin,wakelin,wakelin,WAKELIN_103584,WAKELIN ST (WEST OF EAST ST),Urban Residential,29,Activity Streets,Low,Low,50,16,Medium,30,20,-14,50,30.0,,,wakelin
"MULTILINESTRING ((1806457.35934447 5449151.87368038,1806369.50350443 5449229.52882351),(1806369.50350443 5449229.52882351,1806232.47434621 5449350.6710732),(1806232.47434621 5449350.6710732,1806232.00851429 5449351.09716143,1806126.40942718 5449445.31637879),(1805107.55545492 5450339.76842872,1804707.37277425 5450695.88736651,1804694.65916526 5450711.10576423,1803815.1817997 5451480.20508337),(1805321.00520913 5450153.61025763,1805334.69579402 5450141.52805641),(1805321.00520913 5450153.61025763,1805107.55545492 5450339.76842872),(1805334.69579402 5450141.52805641,1805741.64666014 5449782.39520062),(1806126.40942718 5449445.31637879,1805953.85361399 5449599.26798618),(1805953.85361399 5449599.26798618,1805741.64666014 5449782.39520062))",1795501,Addressing Road,Unknown,Road,Wood Street,Wood St,,Wood,Street,,,,,,Wood Street,Wood St,Wood,wood,wood,wood,wood,WOOD_37228,WOOD ST,Rural Residential,212,Rural Roads,Low,Low,100,46,Medium,60,40,-14,60,,,,wood
"LINESTRING (1805107.55545492 5450339.76842872,1805113.29367552 5450345.69847635,1805522.32427516 5450798.1431161)",1795563,Addressing Road,Unknown,Road,Hawke Street,Hawke St,,Hawke,Street,,,,,,Hawke Street,Hawke St,Hawke,hawke,hawke,hawke,hawke,HAWKE_42303,HAWKE ST,Remote Rural,21,Rural Roads,Low,Low,100,17,Medium High,60,40,-43,60,,,,hawke
"LINESTRING (1807131.83473104 5449483.52897553,1807119.93031907 5449488.7178036,1807075.72718226 5449528.68236701)",1791763,Addressing Road,Unknown,Road,Clara Anne Grove,Clara Anne Grv,,Clara Anne,Grove,,,,,,Clara Anne Grove,Clara Anne Grv,Clara Anne,clara,clara,clara,clara,CLARA_14984,CLARA ANNE GR,Urban Residential,42,Local Streets,Low,Low,50,17,Medium,30,20,-13,30,,,,clara
"MULTILINESTRING ((1806143.58344759 5433852.52795138,1806140.64971841 5433870.60811965,1806161.56322517 5433986.52907552,1806163.05558925 5433993.65569472,1806164.6698138 5434004.29754008),(1806186.54244147 5434122.46549613,1806209.30192241 5434260.82960181,1806208.5893969 5434277.05608144))",1795687,Addressing Road,Unknown,Road,Kansas Street,Kansas St,,Kansas,Street,,,,,,Kansas Street,Kansas St,Kansas,kansas,kansas,kansas,kansas,KANSAS_14882,KANSAS ST (NORTHERN LEG),,490,Activity Streets,Low,Low,50,26,High,30,20,-4,30,,,,kansas
